base,k,size,target_alpha,target_sum,objective,model_path,solution_path,generate_model_cmd,score_solution_cmd
45,4,17,0.7597377850,4.43975,harmonic_proxy,models/cyclic_b45_k4_s17_harmonic_proxy.opb,solver_outputs/cyclic_b45_k4_s17_harmonic_proxy.sol,python src/cyclic_pb_encoder.py --base 45 --k 4 --min-size 17 --max-size 17 --objective harmonic_proxy --output models/cyclic_b45_k4_s17_harmonic_proxy.opb,python src/score_pb_solution.py --base 45 --k 4 --solution solver_outputs/cyclic_b45_k4_s17_harmonic_proxy.sol --target 4.43975
45,4,17,0.7597377850,4.43975,low_digit,models/cyclic_b45_k4_s17_low_digit.opb,solver_outputs/cyclic_b45_k4_s17_low_digit.sol,python src/cyclic_pb_encoder.py --base 45 --k 4 --min-size 17 --max-size 17 --objective low_digit --output models/cyclic_b45_k4_s17_low_digit.opb,python src/score_pb_solution.py --base 45 --k 4 --solution solver_outputs/cyclic_b45_k4_s17_low_digit.sol --target 4.43975
45,4,17,0.7597377850,4.43975,cardinality,models/cyclic_b45_k4_s17_cardinality.opb,solver_outputs/cyclic_b45_k4_s17_cardinality.sol,python src/cyclic_pb_encoder.py --base 45 --k 4 --min-size 17 --max-size 17 --objective cardinality --output models/cyclic_b45_k4_s17_cardinality.opb,python src/score_pb_solution.py --base 45 --k 4 --solution solver_outputs/cyclic_b45_k4_s17_cardinality.sol --target 4.43975
45,4,18,0.7597377850,4.43975,harmonic_proxy,models/cyclic_b45_k4_s18_harmonic_proxy.opb,solver_outputs/cyclic_b45_k4_s18_harmonic_proxy.sol,python src/cyclic_pb_encoder.py --base 45 --k 4 --min-size 18 --max-size 18 --objective harmonic_proxy --output models/cyclic_b45_k4_s18_harmonic_proxy.opb,python src/score_pb_solution.py --base 45 --k 4 --solution solver_outputs/cyclic_b45_k4_s18_harmonic_proxy.sol --target 4.43975
45,4,18,0.7597377850,4.43975,low_digit,models/cyclic_b45_k4_s18_low_digit.opb,solver_outputs/cyclic_b45_k4_s18_low_digit.sol,python src/cyclic_pb_encoder.py --base 45 --k 4 --min-size 18 --max-size 18 --objective low_digit --output models/cyclic_b45_k4_s18_low_digit.opb,python src/score_pb_solution.py --base 45 --k 4 --solution solver_outputs/cyclic_b45_k4_s18_low_digit.sol --target 4.43975
45,4,18,0.7597377850,4.43975,cardinality,models/cyclic_b45_k4_s18_cardinality.opb,solver_outputs/cyclic_b45_k4_s18_cardinality.sol,python src/cyclic_pb_encoder.py --base 45 --k 4 --min-size 18 --max-size 18 --objective cardinality --output models/cyclic_b45_k4_s18_cardinality.opb,python src/score_pb_solution.py --base 45 --k 4 --solution solver_outputs/cyclic_b45_k4_s18_cardinality.sol --target 4.43975
45,4,19,0.7597377850,4.43975,harmonic_proxy,models/cyclic_b45_k4_s19_harmonic_proxy.opb,solver_outputs/cyclic_b45_k4_s19_harmonic_proxy.sol,python src/cyclic_pb_encoder.py --base 45 --k 4 --min-size 19 --max-size 19 --objective harmonic_proxy --output models/cyclic_b45_k4_s19_harmonic_proxy.opb,python src/score_pb_solution.py --base 45 --k 4 --solution solver_outputs/cyclic_b45_k4_s19_harmonic_proxy.sol --target 4.43975
45,4,19,0.7597377850,4.43975,low_digit,models/cyclic_b45_k4_s19_low_digit.opb,solver_outputs/cyclic_b45_k4_s19_low_digit.sol,python src/cyclic_pb_encoder.py --base 45 --k 4 --min-size 19 --max-size 19 --objective low_digit --output models/cyclic_b45_k4_s19_low_digit.opb,python src/score_pb_solution.py --base 45 --k 4 --solution solver_outputs/cyclic_b45_k4_s19_low_digit.sol --target 4.43975
45,4,19,0.7597377850,4.43975,cardinality,models/cyclic_b45_k4_s19_cardinality.opb,solver_outputs/cyclic_b45_k4_s19_cardinality.sol,python src/cyclic_pb_encoder.py --base 45 --k 4 --min-size 19 --max-size 19 --objective cardinality --output models/cyclic_b45_k4_s19_cardinality.opb,python src/score_pb_solution.py --base 45 --k 4 --solution solver_outputs/cyclic_b45_k4_s19_cardinality.sol --target 4.43975
55,4,20,0.7597377850,4.43975,harmonic_proxy,models/cyclic_b55_k4_s20_harmonic_proxy.opb,solver_outputs/cyclic_b55_k4_s20_harmonic_proxy.sol,python src/cyclic_pb_encoder.py --base 55 --k 4 --min-size 20 --max-size 20 --objective harmonic_proxy --output models/cyclic_b55_k4_s20_harmonic_proxy.opb,python src/score_pb_solution.py --base 55 --k 4 --solution solver_outputs/cyclic_b55_k4_s20_harmonic_proxy.sol --target 4.43975
