b,period,size_profile,alpha,profiles_examined,pairs_examined,found,D0,D1
11,2,11 11,1.0000000000,1,1,0,,
11,2,10 11,0.9801262839,2,10,0,,
11,2,11 10,0.9801262839,3,10,0,,
11,2,10 10,0.9602525678,4,100,0,,
11,2,9 11,0.9581569100,5,45,0,,
11,2,11 9,0.9581569100,6,45,0,,
11,2,9 10,0.9382831939,7,450,0,,
11,2,10 9,0.9382831939,8,450,0,,
11,2,8 11,0.9335972395,9,120,0,,
11,2,11 8,0.9335972395,10,120,0,,
11,2,9 9,0.9163138200,11,2025,0,,
11,2,8 10,0.9137235234,12,1200,0,,
11,2,10 8,0.9137235234,13,1200,0,,
11,2,7 11,0.9057537776,14,210,0,,
11,2,11 7,0.9057537776,15,210,0,,
11,2,8 9,0.8917541495,16,5400,0,,
11,2,9 8,0.8917541495,17,5400,0,,
11,2,7 10,0.8858800615,18,2100,0,,
11,2,10 7,0.8858800615,19,2100,0,,
11,2,6 11,0.8736108652,20,252,0,,
11,2,11 6,0.8736108652,21,252,0,,
11,2,8 8,0.8671944790,22,14400,0,,
11,2,7 9,0.8639106876,23,9450,0,,
11,2,9 7,0.8639106876,24,9450,0,,
11,2,6 10,0.8537371491,25,2520,0,,
11,2,10 6,0.8537371491,26,2520,0,,
11,2,7 8,0.8393510171,27,25200,0,,
11,2,8 7,0.8393510171,28,25200,0,,
11,2,5 11,0.8355938661,29,210,0,,
11,2,11 5,0.8355938661,30,210,0,,
11,2,6 9,0.8317677753,31,11340,0,,
11,2,9 6,0.8317677753,32,11340,0,,
11,2,5 10,0.8157201500,33,2100,0,,
11,2,10 5,0.8157201500,34,2100,0,,
11,2,7 7,0.8115075557,35,44100,0,,
11,2,6 8,0.8072081076,36,30240,0,,
11,2,8 6,0.8072081076,37,30240,0,,
11,2,5 9,0.7937507762,38,9450,0,,
11,2,9 5,0.7937507762,39,9450,0,,
11,2,4 11,0.7890648218,40,120,0,,
11,2,11 4,0.7890648218,41,120,0,,
11,2,6 7,0.7793646496,42,52920,0,,
11,2,7 6,0.7793646496,43,52920,0,,
11,2,4 10,0.7691911102,44,1200,0,,
11,2,10 4,0.7691911102,45,1200,0,,
11,2,5 8,0.7691911102,46,25200,0,,
11,2,8 5,0.7691911102,47,25200,0,,
12,2,12 12,1.0000000000,1,1,0,,
12,2,11 12,0.9824920237,2,11,0,,
12,2,12 11,0.9824920237,3,11,0,,
12,2,11 11,0.9649840474,4,121,0,,
12,2,10 12,0.9633142043,5,55,0,,
12,2,12 10,0.9633142043,6,55,0,,
12,2,10 11,0.9458062280,7,605,0,,
12,2,11 10,0.9458062280,8,605,0,,
12,2,9 12,0.9421141081,9,165,0,,
12,2,12 9,0.9421141081,10,165,0,,
12,2,10 10,0.9266284086,11,3025,0,,
12,2,9 11,0.9246061318,12,1815,0,,
12,2,11 9,0.9246061318,13,1815,0,,
12,2,8 12,0.9184144224,14,330,0,,
12,2,12 8,0.9184144224,15,330,0,,
12,2,9 10,0.9054283124,16,9075,0,,
12,2,10 9,0.9054283124,17,9075,0,,
12,2,8 11,0.9009064461,18,3630,0,,
12,2,11 8,0.9009064461,19,3630,0,,
12,2,7 12,0.8915459281,20,462,0,,
12,2,12 7,0.8915459281,21,462,0,,
12,2,9 9,0.8842282162,22,27225,0,,
12,2,8 10,0.8817286267,23,18150,0,,
12,2,10 8,0.8817286267,24,18150,0,,
12,2,7 11,0.8740379518,25,5082,0,,
12,2,11 7,0.8740379518,26,5082,0,,
12,2,6 12,0.8605285309,27,462,0,,
12,2,8 9,0.8605285305,28,54450,0,,
12,2,9 8,0.8605285305,29,54450,0,,
12,2,12 6,0.8605285309,30,462,0,,
12,2,7 10,0.8548601324,31,25410,0,,
12,2,10 7,0.8548601324,32,25410,0,,
12,2,6 11,0.8430205545,33,5082,0,,
12,2,11 6,0.8430205545,34,5082,0,,
12,2,8 8,0.8368288448,35,108900,0,,
12,2,7 9,0.8336600362,36,76230,0,,
12,2,9 7,0.8336600362,37,76230,0,,
12,2,6 10,0.8238427351,38,25410,0,,
12,2,10 6,0.8238427351,39,25410,0,,
12,2,5 12,0.8238427351,40,330,0,,
12,2,12 5,0.8238427351,41,330,0,,
12,2,7 8,0.8099603505,42,152460,0,,
12,2,8 7,0.8099603505,43,152460,0,,
12,2,5 11,0.8063347587,44,3630,0,,
12,2,11 5,0.8063347587,45,3630,0,,
12,2,6 9,0.8026426389,46,76230,0,,
12,2,9 6,0.8026426389,47,76230,0,,
12,2,5 10,0.7871569392,48,18150,0,,
12,2,10 5,0.7871569392,49,18150,0,,
12,2,7 7,0.7830918542,50,213444,0,,
12,2,4 12,0.7789429528,51,165,0,,
12,2,6 8,0.7789429533,52,152460,0,,
12,2,8 6,0.7789429533,53,152460,0,,
12,2,12 4,0.7789429528,54,165,0,,
12,2,5 9,0.7659568429,55,54450,0,,
12,2,9 5,0.7659568429,56,54450,0,,
12,2,4 11,0.7614349765,57,1815,0,,
12,2,11 4,0.7614349765,58,1815,0,,
13,2,13 13,1.0000000000,1,1,0,,
13,2,12 13,0.9843968252,2,12,0,,
13,2,13 12,0.9843968252,3,12,0,,
13,2,12 12,0.9687936504,4,144,0,,
13,2,11 13,0.9674352116,5,66,0,,
13,2,13 11,0.9674352116,6,66,0,,
13,2,11 12,0.9518320368,7,792,0,,
13,2,12 11,0.9518320368,8,792,0,,
13,2,10 13,0.9488558590,9,220,0,,
13,2,13 10,0.9488558590,10,220,0,,
13,2,11 11,0.9348704232,11,4356,0,,
13,2,10 12,0.9332526842,12,2640,0,,
13,2,12 10,0.9332526842,13,2640,0,,
13,2,9 13,0.9283173465,14,495,0,,
13,2,13 9,0.9283173465,15,495,0,,
13,2,10 11,0.9162910706,16,14520,0,,
13,2,11 10,0.9162910706,17,14520,0,,
13,2,9 12,0.9127141717,18,5940,0,,
13,2,12 9,0.9127141717,19,5940,0,,
13,2,8 13,0.9053572276,20,792,0,,
13,2,13 8,0.9053572276,21,792,0,,
13,2,10 10,0.8977117180,22,48400,0,,
13,2,9 11,0.8957525581,23,32670,0,,
13,2,11 9,0.8957525581,24,32670,0,,
13,2,8 12,0.8897540528,25,9504,0,,
13,2,12 8,0.8897540528,26,9504,0,,
13,2,7 13,0.8793272147,27,924,0,,
13,2,13 7,0.8793272147,28,924,0,,
13,2,9 10,0.8771732055,29,108900,0,,
13,2,10 9,0.8771732055,30,108900,0,,
13,2,8 11,0.8727924392,31,52272,0,,
13,2,11 8,0.8727924392,32,52272,0,,
13,2,7 12,0.8637240399,33,11088,0,,
13,2,12 7,0.8637240399,34,11088,0,,
13,2,9 9,0.8566346930,35,245025,0,,
13,2,8 10,0.8542130866,36,174240,0,,
13,2,10 8,0.8542130866,37,174240,0,,
13,2,6 13,0.8492777467,38,792,0,,
13,2,13 6,0.8492777467,39,792,0,,
13,2,7 11,0.8467624263,40,60984,0,,
13,2,11 7,0.8467624263,41,60984,0,,
13,2,6 12,0.8336745719,42,9504,0,,
13,2,8 9,0.8336745741,43,392040,0,,
13,2,9 8,0.8336745741,44,392040,0,,
13,2,12 6,0.8336745719,45,9504,0,,
13,2,7 10,0.8281830737,46,203280,0,,
13,2,10 7,0.8281830737,47,203280,0,,
13,2,6 11,0.8167129583,48,52272,0,,
13,2,11 6,0.8167129583,49,52272,0,,
13,2,5 13,0.8137367762,50,495,0,,
13,2,13 5,0.8137367762,51,495,0,,
13,2,8 8,0.8107144652,52,627264,0,,
13,2,7 9,0.8076445614,53,457380,0,,
13,2,9 7,0.8076445614,54,457380,0,,
13,2,6 10,0.7981336057,55,174240,0,,
13,2,10 6,0.7981336057,56,174240,0,,
13,2,5 12,0.7981336014,57,5940,0,,
13,2,12 5,0.7981336014,58,5940,0,,
13,2,7 8,0.7846844436,59,731808,0,,
13,2,8 7,0.7846844436,60,731808,0,,
13,2,5 11,0.7811719878,61,32670,0,,
13,2,11 5,0.7811719878,62,32670,0,,
13,2,6 9,0.7775950903,63,392040,0,,
13,2,9 6,0.7775950903,64,392040,0,,
13,2,4 13,0.7702381572,65,220,0,,
13,2,13 4,0.7702381572,66,220,0,,
13,2,5 10,0.7625926347,67,108900,0,,
13,2,10 5,0.7625926347,68,108900,0,,
