period,b,trials,best_trial,seed,alpha,target_hit,sizes,steps,D0,D1,D2
2,14,10,9,140009,0.6789391989,0,4 9,,0 4 10 12,0 1 2 4 5 7 11 12 13,
2,15,10,0,150000,0.7185650208,0,7 7,,0 1 7 9 11 12 14,0 1 3 5 11 12 13,
2,16,10,8,160008,0.6652410119,0,4 10,,0 2 4 11,0 1 2 4 7 8 9 13 14 15,
3,11,20,6,220006,0.7472217363,0,6 6 6,,0 1 2 4 5 7,0 1 3 7 8 9,0 2 3 5 9 10
3,12,20,5,240005,0.6508668732,0,4 4 8,,0 2 4 9,0 4 7 9,0 1 2 6 7 8 10 11
3,13,20,2,260002,0.6985554955,0,6 6 6,,0 1 2 4 5 8,0 1 3 8 9 10,0 3 4 9 11 12
3,14,20,9,280009,0.6559105774,0,4 9 5,,0 2 6 12,0 2 3 6 7 8 11 12 13,0 3 8 10 12
3,15,20,5,300005,0.6995906458,0,7 6 7,,0 1 5 7 11 12 14,0 2 5 6 11 12,0 1 7 9 11 12 14
3,16,20,1,320001,0.6589075496,0,4 6 10,,0 7 9 12,0 1 2 4 5 11,0 1 2 4 5 7 11 12 13 15
3,17,20,13,340013,0.7025311445,0,7 7 8,,0 1 3 4 10 11 16,0 1 3 4 7 9 12,0 1 3 7 8 12 14 15
3,18,20,6,360006,0.6732387084,0,7 7 7,,0 1 3 4 6 7 17,0 1 2 4 5 7 8,0 1 2 4 7 14 15
